series_id,series_title,frequency,year,period,period_name,date_index,value,previous_value,value_diff,pct_change,month,quarter,latest,footnotes,nlp_text,publication_datetime
LNS14000000,Unemployment Rate,Monthly,2020,M01,January,2020-M01,3.6,,,,1,,False,,Unemployment Rate for January 2020 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M01,January,2020-M01,152031.0,3.6,152027.4,4222983.333333333,1,,False,,Total Nonfarm Employment for January 2020 was 152031.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M02,February,2020-M02,3.5,152031.0,-152027.5,-99.99769783794095,2,,False,,Unemployment Rate for February 2020 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M02,February,2020-M02,152293.0,3.5,152289.5,4351128.571428572,2,,False,,Total Nonfarm Employment for February 2020 was 152293.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M03,March,2020-M03,4.4,152293.0,-152288.6,-99.99711083240858,3,,False,,Unemployment Rate for March 2020 was 4.4.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M03,March,2020-M03,150895.0,4.4,150890.6,3429331.8181818184,3,,False,,Total Nonfarm Employment for March 2020 was 150895.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M04,April,2020-M04,14.8,150895.0,-150880.2,-99.9901918552636,4,,False,,Unemployment Rate for April 2020 was 14.8.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M04,April,2020-M04,130426.0,14.8,130411.2,881156.7567567567,4,,False,,Total Nonfarm Employment for April 2020 was 130426.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M05,May,2020-M05,13.2,130426.0,-130412.8,-99.98987931854079,5,,False,,Unemployment Rate for May 2020 was 13.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M05,May,2020-M05,133040.0,13.2,133026.8,1007778.7878787878,5,,False,,Total Nonfarm Employment for May 2020 was 133040.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M06,June,2020-M06,11.0,133040.0,-133029.0,-99.99173180998197,6,,False,,Unemployment Rate for June 2020 was 11.0.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M06,June,2020-M06,137671.0,11.0,137660.0,1251454.5454545454,6,,False,,Total Nonfarm Employment for June 2020 was 137671.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M07,July,2020-M07,10.2,137671.0,-137660.8,-99.99259103224352,7,,False,,Unemployment Rate for July 2020 was 10.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M07,July,2020-M07,139255.0,10.2,139244.8,1365145.0980392157,7,,False,,Total Nonfarm Employment for July 2020 was 139255.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M08,August,2020-M08,8.4,139255.0,-139246.6,-99.993967900614,8,,False,,Unemployment Rate for August 2020 was 8.4.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M08,August,2020-M08,140821.0,8.4,140812.6,1676340.4761904762,8,,False,,Total Nonfarm Employment for August 2020 was 140821.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M09,September,2020-M09,7.8,140821.0,-140813.2,-99.99446105339403,9,,False,,Unemployment Rate for September 2020 was 7.8.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M09,September,2020-M09,141770.0,7.8,141762.2,1817464.1025641027,9,,False,,Total Nonfarm Employment for September 2020 was 141770.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M10,October,2020-M10,6.9,141770.0,-141763.1,-99.9951329618396,10,,False,,Unemployment Rate for October 2020 was 6.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M10,October,2020-M10,142460.0,6.9,142453.1,2064537.6811594204,10,,False,,Total Nonfarm Employment for October 2020 was 142460.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M11,November,2020-M11,6.7,142460.0,-142453.3,-99.99529692545275,11,,False,,Unemployment Rate for November 2020 was 6.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M11,November,2020-M11,142733.0,6.7,142726.3,2130243.2835820895,11,,False,,Total Nonfarm Employment for November 2020 was 142733.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2020,M12,December,2020-M12,6.7,142733.0,-142726.3,-99.9953059208452,12,,False,,Unemployment Rate for December 2020 was 6.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2020,M12,December,2020-M12,142548.0,6.7,142541.3,2127482.0895522386,12,,False,,Total Nonfarm Employment for December 2020 was 142548.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M01,January,2021-M01,6.4,142548.0,-142541.6,-99.99551028425513,1,,False,,Unemployment Rate for January 2021 was 6.4.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M01,January,2021-M01,142863.0,6.4,142856.6,2232134.375,1,,False,,Total Nonfarm Employment for January 2021 was 142863.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M02,February,2021-M02,6.2,142863.0,-142856.8,-99.9956601779327,2,,False,,Unemployment Rate for February 2021 was 6.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M02,February,2021-M02,143380.0,6.2,143373.8,2312480.64516129,2,,False,,Total Nonfarm Employment for February 2021 was 143380.,2026-07-26T19:16:15Z
