uuid,series_id,series_title,frequency,year,period,period_name,value,latest,footnotes,source_type,collection_timestamp,normalization_timestamp,checksum
26fad1c6-ae16-45ab-81cd-536ba55994ca,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M01,January,257.971,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,7813f46be452c40744687ddc1572c3368481baa2b4baf590b1855e7c0631f5d7
3e62908e-6a6c-4ab2-ac9b-3c6bf9df55ad,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M01,January,259.127,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,a2de82b880e82ad9baf5ee038d9389ad7020a2049c0c1266faa6117e3ac631e3
19d5fdb4-2055-4741-954e-e27da7a6607b,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M02,February,258.678,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,17394022270962f700d0ff0faede80f6ef2c4537e31db8315c47bb33ba4a209b
1ed91dbd-67bc-45b4-8afe-4bf135645c12,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M02,February,259.250,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,0ae12dd305c64803a4920dd781f468db2e04036ef64abedbb5a872b754ae9540
270f191c-8068-4aa5-b781-e28f363e9231,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M03,March,258.115,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,cdf29bcf6afa4ab1b21527a03078dc75681354a8ec0997bd9e9ed237ab28e3e7
83aa4f4c-cd8e-43be-aeed-392e6c8f0d5b,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M03,March,258.076,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,31a91e39652edf0c6b1db4b3b9f1188751e42a8f1bfd0e82fada1b260a7b0735
fc3fc4e2-2318-4c2d-a9b8-8e10b9d4906a,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M04,April,256.389,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,979d766af17e70ea98392f8c10b437093a2afbfd7cbc9169de20d2fabf1b8cc3
8feb3b6b-3921-4c07-8dd7-e5f1c42fe58e,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M04,April,256.032,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,3b1cf262e0f6abf6415eb17a7fcc6eedbc60ed42c42550f53010e77b534cecd3
cef4b975-d5b3-4c3d-9c0c-1252ec815939,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M05,May,256.394,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,5b3d771330a76eb60a0c468aed06396ce95b308ad9e3d2eceb2d8e274baf4864
8244e830-7b7c-45f5-8161-a3229ee41399,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M05,May,255.802,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,6de69a7cd77f58371b6384de798dd5c84c7135392433b66c8a030e9cd2c7c8d2
7226c658-ec45-41b7-bcf9-d5b47f2eed36,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M06,June,257.797,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,8a5ccd7321b80806a7106768ca0a7283b9ea56fece86e72626de162be60d951b
4ca513ad-4e4b-42d7-bd25-77732f307304,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M06,June,257.042,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,003d0941a90fed760c6f15304ae76a2654e58da802ac5643d2814c62a36d0927
c509180f-f5a6-455b-8983-2bfd26fffc97,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M07,July,259.101,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,92edc7e59e44654e42087128dce8e97c8e5f467e41fccb546192c616aeb7e342
5e8e6296-8b7a-4cd5-bdc9-10cb80d552f0,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M07,July,258.352,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,0f50fe41d6651c6ae7c22d5208760969d37e7e85dc875054d5697a97da375061
b5b262b2-dce2-4400-ba51-7a2a6d5b387f,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M08,August,259.918,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,8982e1346db8439716157c94656681fbb00f27ebf820139011c482b46240b2a3
22474ef6-5244-4bde-9552-d0ce294ec502,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M08,August,259.316,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,a95d4e1481d4756577cfbea97928202140f53f7f95842e4780b7f4abdc68a004
c07084d9-a4d2-4c05-847a-819070ae1472,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M09,September,260.280,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,830ebd10b5c602f95d90fd27b4e3c706655f5c9c8811e1f2e9448b539062d8b4
e6d95a4f-d72c-41c8-82e7-93d399a1743f,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M09,September,259.997,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,40d6e30f1fb4b7b708b47314ab0ab45a6a6f73c72278cebf945ccb23c35c7155
11c4088e-2590-4abc-9a1a-3fbc707e0f95,CUUR0000SA0,Consumer Price Index for All Urban Consumers (CPI-U): All Items,Monthly,2020,M10,October,260.388,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,980953bd9ecfbc2d856a18f7e7377d01b22a1b4548bd8caf110e1c16e159732e
3382e501-f55f-4c21-a461-a6000da5ef0b,CUSR0000SA0,Consumer Price Index (Seasonally Adjusted),Monthly,2020,M10,October,260.319,False,,API,2026-07-26T19:16:15Z,2026-07-26T19:16:19Z,56159f4710c5967e5459d0933e90d31c58ec2217f35720d31d54eccf587f1288
